ページ タイトル,ページパス + クエリ文字列,表示回数
CADO-ES1 (Human Bone Ewing's sarcoma cell line)（CLI-300127-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3929063&ServerKey=Primary&selPrice=1,1
BT-20 (Human Breast Carcinoma cell line)（CLI-300130-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3929065&ServerKey=Primary&selPrice=1,1
"BT-474 (Human Breast Carcinoma, ductal cell line)（CLI-300131-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=3929066&ServerKey=Primary&selPrice=1,1
BT-549 (Human Breast Carcinoma cell line)（CLI-300132-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3929067&ServerKey=Primary&selPrice=1,1
DAN-G (Human Pancreas Adenocarcinoma cell line)（CLI-300162-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3929091&ServerKey=Primary&selPrice=1,1
DU-145 (Human Prostate Carcinoma cell line)（CLI-300168-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3929094&ServerKey=Primary&selPrice=1,1
NCI-H209 (Human Lung small cell carcinoma cell line)（CLI-300183-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3929102&ServerKey=Primary&selPrice=1,1
HL-60 (Human Leukemia cell line)（CLI-300209-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3929115&ServerKey=Primary&selPrice=1,1
HUT-78 (Human T-lymphocyte Lymphoma cell line)（CLI-300338-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3929206&ServerKey=Primary&selPrice=1,1
T84 (Human Colon carcinoma cell line)（CLI-300354-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3929221&ServerKey=Primary&selPrice=1,1
U-2 OS (Human Bone osteosarcoma cell line)（CLI-300364-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3929228&ServerKey=Primary&selPrice=1,1
AGS (Human Stomach Adenocarcinoma cell line)（CLI-300408-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3929252&ServerKey=Primary&selPrice=1,1
Wi-38 VA-13_2RA (Human Lung embryonic cell line)（CLI-300421-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3929255&ServerKey=Primary&selPrice=1,1
RPMI-8226 (Human Myeloma cell line)（CLI-300431-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3929259&ServerKey=Primary&selPrice=1,1
TF-1 (Human Bone marrow Erythroleukemia cell line)（CLI-300434-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3929262&ServerKey=Primary&selPrice=1,1
ECV-304 (Human Urinary bladder Carcinoma cell line)（CLI-300452-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3929274&ServerKey=Primary&selPrice=1,1
EGG (Murine Hematopoiesis Leukemia cell line)（CLI-400171-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3929315&ServerKey=Primary&selPrice=1,1
Hep-74.3A (Murine Liver Hepatoma cell line)（CLI-400208-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3929329&ServerKey=Primary&selPrice=1,1
Yac-1 (Murine Lymph Node Lymhoma Cell Line)（CLI-400383-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3929354&ServerKey=Primary&selPrice=1,1
EL4.IL-2 (Murine Thymus Lymphoma cell line)（CLI-400425-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3929364&ServerKey=Primary&selPrice=1,1
Hepa 1-6 (Murine Liver cell line)（CLI-400474-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3929370&ServerKey=Primary&selPrice=1,1
Sp2/0-Ag14 (Murine Hematopoiesis myeloma cell line)（CLI-400481-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3929373&ServerKey=Primary&selPrice=1,1
FRTL-5 (Rat Thyroidea cell line)（CLI-500407-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3929397&ServerKey=Primary&selPrice=1,1
Anti PDK1（PGI-182621AP-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3930106&ServerKey=Primary&selPrice=1,1
Anti CD206（PGI-187041AP-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3930119&ServerKey=Primary&selPrice=1,1
Anti LAPTM4B（PGI-188951AP-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3930159&ServerKey=Primary&selPrice=1,1
MultiPoint OxLDL Kit（KLN-7902027-4*1MG）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3930206&ServerKey=Primary&selPrice=1,1
Western Blot Stripping Buffer（SCB-SC281698-500ML）（カテゴリ：化成品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3941508&ServerKey=Primary&selPrice=1,1
Ready-to-Use Packaging Plasmid Mix (250ug)（CLT-CPCPK2A-1EACH[250 ug]）（カテゴリ：受託サービス） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4000806&ServerKey=Primary&selPrice=1,1
Anti IgG(H+L)（BTI-20155-0.5ML[2 mg/mL]）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4048608&ServerKey=Primary&selPrice=1,1
GenJet<sup>TM</sup> In Vitro DNA Transfection Reagent for MEFs（SGL-SL100489MEF-0.1ML）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4048700&ServerKey=Primary&selPrice=1,1
Anti IgG(H+L)（BTI-200461-50UL[2 mg/mL]）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4048743&ServerKey=Primary&selPrice=1,1
Anti IgG(H+L)（BTI-20127-0.5ML[2 mg/mL]）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4048813&ServerKey=Primary&selPrice=1,1
MitoView<sup>TM</sup> 633（BTI-70055-20*50UG）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4048933&ServerKey=Primary&selPrice=1,1
CF<sup>(R)</sup>488A Maleimide（BTI-92022-1UMOL）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4048938&ServerKey=Primary&selPrice=1,1
CF<sup>(R)</sup>633 Amine（BTI-92041-1MG）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4048954&ServerKey=Primary&selPrice=1,1
Mix-n-Stain<sup>TM</sup> CF<sup>(R)</sup>647 Antibody Labeling Kit（BTI-92238-1KIT[1x(50-100μg)labeling]）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4048994&ServerKey=Primary&selPrice=1,1
"IMMUNO SHOT immunostaining, Fine（CSR-ISF20-20ML）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=4051593&ServerKey=Primary&selPrice=1,1
GenMute<sup>TM</sup> siRNA & DNA Transfection Reagent（SGL-SL100568-0.1ML）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4062758&ServerKey=Primary&selPrice=1,1
MycoJudge Total Aflatoxin（NPH-NMJ001-1KIT[96_WELL]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4067028&ServerKey=Primary&selPrice=1,1
Anti VEGFA（PGI-190031AP-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4072169&ServerKey=Primary&selPrice=1,1
Anti MARCH5（PGI-122131AP-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4072376&ServerKey=Primary&selPrice=1,1
Anti TLR4（PGI-198111AP-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4072749&ServerKey=Primary&selPrice=1,1
PI(3)P Mass ELISA（ECL-K3300-1KIT）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4083676&ServerKey=Primary&selPrice=1,1
Cholesterol（ECL-L6012-100MG）（カテゴリ：タンパク質、糖類、ホルモン） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4083746&ServerKey=Primary&selPrice=1,1
Anti LBPA (BMP)（ECL-ZPLBPA-50UG）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4083762&ServerKey=Primary&selPrice=1,1
GenJet<sup>TM</sup> In Vitro DNA Transfection Reagent for U2 OS Cells（SGL-SL100489OS-1ML）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4086415&ServerKey=Primary&selPrice=1,1
GenJet<sup>TM</sup> In Vitro DNA Transfection Reagent for U2 OS Cells（SGL-SL100489OS-0.5ML）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4086417&ServerKey=Primary&selPrice=1,1
Reductive Alylation Kit（HAM-HR2434-1KIT）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4086552&ServerKey=Primary&selPrice=1,1
OxiSelect<sup>TM</sup> Total Antioxidant Capacity (TAC) Assay Kit（CBL-STA360-200ASSAY）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4087290&ServerKey=Primary&selPrice=1,1
Endothelial Cells Culture Medium（PMC-ENCM-500ML）（カテゴリ：培地、培養試薬・機材） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4087587&ServerKey=Primary&selPrice=1,1
BIOPHEN<sup>(R)</sup> DiXaI (Direct Xa Inhibitors)（HBM-221030-3*2.5ML）（カテゴリ：タンパク質、糖類、ホルモン） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4089893&ServerKey=Primary&selPrice=1,1
Pancreatic Islets Culture Medium（PMC-PNIM4-100ML）（カテゴリ：培地、培養試薬・機材） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4090400&ServerKey=Primary&selPrice=1,1
2nd Generation Packaging System Mix（APB-LV003-200UL）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4090626&ServerKey=Primary&selPrice=1,1
Speedy Lentivirus Purification（APB-LV999-100ML）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4090627&ServerKey=Primary&selPrice=1,1
LBP ELISA Kit（HCB-HK503-1*96WELL）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4090724&ServerKey=Primary&selPrice=1,1
Gradient Master（SKB-108-1SET）（カテゴリ：機器、消耗品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4118132&ServerKey=Primary&selPrice=1,1
AAV-DJ/8 Helper Free Bicistronic Expression System (GFP)（CBL-VPK418DJ8-1KIT）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4124633&ServerKey=Primary&selPrice=1,1
Retinal Astrocytes（SCR-1870-1VIAL[5 x 10^5 cells/vial]）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4140863&ServerKey=Primary&selPrice=1,1
SysCOR Control Kit (Systems CORrelation Control Kit)（GK-GKSCOR-30*1.5ML）（カテゴリ：臨床検査試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4206275&ServerKey=Primary&selPrice=1,1
Dermal Microvascular Endothelial Cells-adult（SCR-2020-1VIAL[5 x 10^5 cells/vial]）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4207254&ServerKey=Primary&selPrice=1,1
Epidermal Melanocyte-adult（SCR-2230-1VIAL[5 x 10^5 cells/vial]）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4207256&ServerKey=Primary&selPrice=1,1
ZytoLight<sup>(R)</sup> SPEC 13/CEN 18/SPEC 21 Triple Color Probe（ZYV-Z2095200-200UL[20 test]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4207320&ServerKey=Primary&selPrice=1,1
ZytoLight<sup>(R)</sup> SPEC DDIT3 Dual Color Break Apart Probe（ZYV-Z210050-50UL[5 test]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4207323&ServerKey=Primary&selPrice=1,1
Anti Renin（PGI-142911AP-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4208319&ServerKey=Primary&selPrice=1,1
Anti Histone H2B（PGI-158571AP-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4208335&ServerKey=Primary&selPrice=1,1
Anti SFRS2（PGI-203711AP-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4208541&ServerKey=Primary&selPrice=1,1
IgG glycoprotein standard（LUD-GCPIGG50U-50UG）（カテゴリ：タンパク質、糖類、ホルモン） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4209837&ServerKey=Primary&selPrice=1,1
Prigrow II Medium（APB-TM002-500ML）（カテゴリ：培地、培養試薬・機材） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4209953&ServerKey=Primary&selPrice=1,1
Plasma/Serum Circulating and Exosomal RNA Purification Kit (Slurry Format)（NOG-42800-50PREP.）（カテゴリ：miRNA研究） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4211548&ServerKey=Primary&selPrice=1,1
Amplite<sup>(R)</sup> Colorimetric Aldehyde Quantitation Kit *Blue Color*（ABD-10053-1KIT[200 Tests]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4216573&ServerKey=Primary&selPrice=1,1
Amplite<sup>(R)</sup> Fluorimetric Glutathione GSH/GSSG Ratio Assay Kit *Green Fluorescence*（ABD-10056-1KIT[200 Tests]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4216576&ServerKey=Primary&selPrice=1,1
Amplite<sup>(R)</sup> Fluorimetric Fluorescamine Protein Quantitation Kit *Blue Fluorescence*（ABD-11100-1KIT[200 Tests]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4216585&ServerKey=Primary&selPrice=1,1
Nuclear Green<sup>TM</sup> DCS1 *5 mM DMSO Solution*（ABD-17550-0.5ML）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4216673&ServerKey=Primary&selPrice=1,1
"Fluo-8FF<sup>TM</sup>, potassium salt（ABD-21103-1MG）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=4216692&ServerKey=Primary&selPrice=1,1
Live or Dead<sup>TM</sup> Fixable Dead Cell Staining Kit *Blue Fluorescence with 405 nm Excitation*（ABD-22500-1KIT[200 Tests]）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4216702&ServerKey=Primary&selPrice=1,1
Cell Meter<sup>TM</sup> Apoptotic and Necrotic Multiplexing Detection Kit I *Triple Fluorescence Colors*（ABD-22840-1KIT[100 Tests]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4216729&ServerKey=Primary&selPrice=1,1
PerCP [Peridinin-Chlorophyll-Protein Complex]（ABD-2559-1MG）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4216747&ServerKey=Primary&selPrice=1,1
Amplite<sup>(R)</sup> Fluorimetric Calcium Quantitation Kit *Red Fluorescence*（ABD-36360-1KIT[200 Tests]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4216757&ServerKey=Primary&selPrice=1,1
Screen Quest<sup>TM</sup> Colorimetric ELISA cAMP Assay Kit（ABD-36370-1PLATE）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4216758&ServerKey=Primary&selPrice=1,1
Screen Quest<sup>TM</sup> Colorimetric ELISA cAMP Assay Kit（ABD-36371-10PLATE）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4216759&ServerKey=Primary&selPrice=1,1
Amplite<sup>(R)</sup> Cholesterol Quantitation Kit（ABD-40006-1KIT[200 Tests]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4216775&ServerKey=Primary&selPrice=1,1
"Multiscreen AgELISA Calf digestive / sandwich, monowell（BOX-BIOK1511-96TEST[1-plate kit, 96 samples (strip)]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=4218348&ServerKey=Primary&selPrice=1,1
PI/RNAse（ISP-PIRNASE-200TEST）（カテゴリ：分離・精製） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4222268&ServerKey=Primary&selPrice=1,1
ZytoDot<sup>(R)</sup> 2C CEN X/Y Probe（ZYV-C3048400-400UL[40 test]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4232724&ServerKey=Primary&selPrice=1,1
Acti-stain<sup>TM</sup> 670 phalloidin（CYT-PHDN1A-1*500UL[300 slides]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4247363&ServerKey=Primary&selPrice=1,1
Hyaluronidase（SCB-SC360249-1AMPULE[300 units]）（カテゴリ：化成品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4256516&ServerKey=Primary&selPrice=1,1
NucView<sup>(R)</sup> 488 Caspase-3 Substrate（BTI-10402-100UL[1mM in DMSO]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4317595&ServerKey=Primary&selPrice=1,1
PepJet<sup>TM</sup> DNA In Vivo Transfection Reagent（SGL-SL100501-0.1ML）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4370458&ServerKey=Primary&selPrice=1,1
ArthritoMAB<sup>TM</sup> Antibody Cocktail for C57BL/6（MDB-CIAMAB2C-50MG）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4370473&ServerKey=Primary&selPrice=1,1
BlotFresh<sup>TM</sup> Western Blot Stripping Reagent (Ver. II)（SGL-SL100324-500ML）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4370476&ServerKey=Primary&selPrice=1,1
PPARG Transcription Factor Assay Kit（ABV-KA1358-1KIT）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4371416&ServerKey=Primary&selPrice=1,1
Tide Fluor<sup>TM</sup> 3 azide [TF3 azide]（ABD-2254-1MG）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4372548&ServerKey=Primary&selPrice=1,1
Cell Meter<sup>TM</sup> Annexin V Binding Apoptosis Assay Kit *Green Fluorescence Optimized for Flow Cytometry*（ABD-22824-1KIT[100 Tests]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4372552&ServerKey=Primary&selPrice=1,1
Tide Fluor<sup>TM</sup> 8WS azide [TF8WS azide] *Near Infrared Emission*（ABD-2306-1MG）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4372560&ServerKey=Primary&selPrice=1,1
Tide Fluor<sup>TM</sup> 1 alkyne [TF1 alkyne]（ABD-2237-5MG）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4372578&ServerKey=Primary&selPrice=1,1
"DAPI (4',6-Diamidino-2-Phenylindole, Dihydrochloride) for nucleic acid staining（BBT-AR1176-10ML[100 assys]）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=4372688&ServerKey=Primary&selPrice=1,1
"Poly (4:1 Glu, Tyr) Peptide（SCP-P6158-1MG）（カテゴリ：タンパク質、糖類、ホルモン） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=4373653&ServerKey=Primary&selPrice=1,1
ParaClear Odorless Xylene Substitute（PSI-224634-4*3.8L）（カテゴリ：化成品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4396981&ServerKey=Primary&selPrice=1,1
Global DNA Methylation ELISA Kit (5'-methyl-2'-deoxycytidine Quantitation)（CBL-STA380-96ASSAY）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4397562&ServerKey=Primary&selPrice=1,1
baculoCOMPLETE protein expression kit（OET-400100-1KIT[5 reactions]）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4399376&ServerKey=Primary&selPrice=1,1
Optiferrin - Animal Free（IVI-777TRF029-1G）（カテゴリ：培地、培養試薬・機材） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4400920&ServerKey=Primary&selPrice=1,1
GAPDH positive control clone for GLuc-ON<sup>TM</sup> Promoter Single Reporter clone（GCP-GAPDHPG02-1CLONE[10μg]）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4401215&ServerKey=Primary&selPrice=1,1
Anti PTPRS（PGI-130081AP-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4404622&ServerKey=Primary&selPrice=1,1
Anti Claudin 3（PGI-164561AP-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4404668&ServerKey=Primary&selPrice=1,1
Anti Cytokeratin 10-specific（PGI-168551AP-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4404669&ServerKey=Primary&selPrice=1,1
Anti Caspase 3/p17/p19（PGI-196771AP-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4404707&ServerKey=Primary&selPrice=1,1
Anti SYNPO（PGI-210641AP-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4404806&ServerKey=Primary&selPrice=1,1
Anti Cyclin D1（PGI-601861IG-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4405126&ServerKey=Primary&selPrice=1,1
Amine (amine-PEG5000-SH) Gold Nanoparticles (50nm)（CTD-CGA5K5050-1ML[OD=50]）（カテゴリ：分離・精製） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4405759&ServerKey=Primary&selPrice=1,1
"Standard Gold Nanoparticles, 10nm（CTD-G1020-20ML[OD=1]）（カテゴリ：分離・精製） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=4405888&ServerKey=Primary&selPrice=1,1
"Standard Gold Nanoparticles, 30nm（CTD-G30500-500ML[OD=1]）（カテゴリ：分離・精製） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=4405898&ServerKey=Primary&selPrice=1,1
"Standard Gold Nanoparticles, 5nm（CTD-G5100-100ML[OD=1]）（カテゴリ：分離・精製） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=4405905&ServerKey=Primary&selPrice=1,1
DIY IFN λ 2/3 (IL-28A/B) ELISA（PBL-618301-15PLATE[15 x 96-well plates]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4430995&ServerKey=Primary&selPrice=1,1
DIY IFN λ 1/2/3 (IL-29/28A/28B) ELISA（PBL-618401-15PLATE[15 x 96-well plates]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4430996&ServerKey=Primary&selPrice=1,1
